plot,code
UFR04,QUEGAM
UFR04,POACOM
UFR04,CAREX
UFR04,THEMON
UFR04,ACHMIL
UFR04,GALAPA
UFR04,MONFIS
UFR04,GALBOR
UFR04,SENINT
UFR04,CERARV
UFR04,JUNOST
UFR04,SYMALB
UFR04,RIBMON
UFR04,MERCIL
UFR04,CAMPET
UFR04,LUPARG
UFR04,PENVIR
UFR04,MAHREP
UFR04,ELYELY
UFR04,VERTHA
MC04,BROTEC
MC04,ERICAN
MC04,TAROFF
MC04,CLAPER
MC04,CAREX
MC04,LACCER
MC04,COLPAR
MC04,VERTHA
MC04,BOESTR
MC04,QUEGAM
MC04,CIRARV
MC04,ALYSIM
MC04,CYNOFF
MC04,SYMOFF
MC04,ACHMIL
MC04,PENVIR
MC04,PLAPUR
MC04,PHAHET
MC04,HESCOM
MC04,AGOAUR
MC04,LUPARG
MC04,UNKF1
MC04,SENINT
MC04,ARTLUD
MC04,RIBMON
MC04,COLLIN
MC04,CHEALB
MC04,GALAPA
HC02,ACHMIL
HC02,HETVIL
HC02,TRIAES
HC02,CEAFEN
HC02,BROTEC
HC02,BOESTR
HC02,DRAPAR
HC02,CIRARV
HC02,ERICAN
HC02,CALCAN
HC02,COLPAR
HC02,CORAUR
HC02,SCUBRI
HC02,DPENVIR
HC02,MAHREP
HC02,MERCIL
MFR06,QUEGAM
MFR06,CERMON
MFR06,ACHMIL
MFR06,CAREX
MFR06,ALYSIM
MFR06,BROTEC
MFR06,AIRARV
MFR06,TRIAES
MFR06,LUPARG
MFR06,CERARV
MFR06,SENINT
MFR06,ARTLUD
MFR06,LACCER
MFR06,KOEMAC
MFR06,ELYELY
MFR06,OPUPOL
MFR06,CARNUT
MFR06,SCUBRI
MFR06,HETVIL
MFR06,MAHREP
MFR06,POACOM
MFR06,TAROFF
LFR02,QUEGAM
LFR02,MAHREP
LFR02,ALYSIM
LFR02,LINDAL
LFR02,CERMON
LFR02,BROTEC
LFR02,BOUCUR
LFR02,ARTLUD
LFR02,LACCER
LFR02,TRAOCC
LFR02,OPUPOL
LFR02,ELYELY
LFR02,CAREX
LFR02,PHAHET
LFR02,HETVIL
LFR02,CERARV
LFR02,SCUBRI
LFR02,CIRARV
MC01,VERTHA
MC01,CERMON
MC01,CERARV
MC01,ALYSIM
MC01,BROTEC
MC01,CARNUT
MC01,TRAOCC
MC01,HYPPER
MC01,MAHREP
MC01,LINDAL
MC01,TAROFF
MC01,ELYSMI
MC01,PHAHET
MC01,DRAAUR
MC01,LACCER
MC01,HETVIL
MC01,CIRARV
MC01,CAMMIC
MC01,PENVIR
MC01,OPUPOL
MFR07,QUEGAM
MFR07,LINDAL
MFR07,ALYSIM
MFR07,CAREX
MFR07,DRAAUG
MFR07,BROTEC
MFR07,CERARV
MFR07,TRAOCC
MFR07,SCUBRI
MFR07,OPUPOL
MFR07,HETVIL
MFR07,OXYDEF
MFR07,IPOAGR
MFR07,POABUL
MFR07,PHAHET
MFR07,COLPAR
MC05,QUEGAM
MC05,LINDAL
MC05,ALYSIM
MC05,CARNUT
MC05,OPUPOL
MC05,ASTDRU
MC05,SENINT
MC05,CAREX
MC05,HETVIL
MC05,DRYFIS
MC05,ARTLUD
MC05,ARTDRA
MC05,BROTEC
MC05,TAROFF
MC05,VULOCT
MC05,DRAAUR
MC05,HESCOM
MC05,COLLIN
MC05,ASTCRA
MC05,COLPAR
MC05,YUCGLA
MC05,DRAPAR
MC05,HYPPER
LC04,OPUMAC
LC04,GALAPA
LC04,QUEGAM
LC04,LINDAL
LC04,ALYSIM
LC04,VERTHA
LC04,CERARV
LC04,IPOAGR
LC04,ERIFLA
LC04,BROTEC
LC04,ARTDRA
LC04,CERMON
LC04,HESCOM
LC04,HETVIL
LC04,COLPAR
LC04,CARNUT
LC04,SCUBRI
LC04,ASTSHO
LC04,ARIPUR
LC04,DRYFIS
LC04,ASTFLE
LFR04,GALAPA
LFR04,BROTEC
LFR04,QUEGAM
LFR04,ALYSIM
LFR04,HESCOM
LFR04,CERMON
LFR04,HETVIL
LFR04,OPUPOL
LFR04,TAROFF
LFR04,CARMIC
LFR04,PENVIR
LFR04,FALCON
